"cell_id","category_label"
"189258","alveolar macrophage"
"283403","alveolar macrophage"
"133373","alveolar macrophage"
"147435","natural killer cell"
"163295","alveolar macrophage"
"185280","macrophage"
"6449","classical monocyte"
"171978","macrophage"
"249796","alveolar macrophage"
"104841","alveolar macrophage"
"4791","T cell"
"97698","myeloid cell"
"28367","myeloid cell"
"1330","alveolar macrophage"
"269548","alveolar macrophage"
"79283","monocyte"
"173516","myeloid cell"
"61038","T cell"
"25892","fibroblast"
"131717","erythroid lineage cell"
"226762","myeloid cell"
"250886","myeloid cell"
"31023","alveolar macrophage"
"156110","myeloid cell"
"270844","myeloid cell"
"16253","T cell"
"238638","alveolar macrophage"
"210249","myeloid cell"
"283791","alveolar macrophage"
"265021","alveolar macrophage"
"309517","alveolar macrophage"
"182387","alveolar macrophage"
"167048","alveolar macrophage"
"24756","myeloid cell"
"114385","T cell"
"81990","alveolar macrophage"
"98767","club cell"
"58960","fibroblast"
"70154","fibroblast"
"280985","macrophage"
"262914","alveolar macrophage"
"224603","classical monocyte"
"26593","alveolar macrophage"
"267641","alveolar macrophage"
"198503","CD4-positive, alpha-beta T cell"
"91691","alveolar macrophage"
"238409","alveolar macrophage"
"221826","natural killer cell"
"160840","alveolar macrophage"
"39066","alveolar macrophage"
"86130","T cell"
"295761","alveolar macrophage"
"138150","alveolar macrophage"
"300719","alveolar macrophage"
"206751","monocyte"
"126908","myeloid cell"
"38830","ciliated cell"
"299387","alveolar macrophage"
"269109","fibroblast"
"292246","macrophage"
"284220","macrophage"
"34170","myeloid cell"
"205690","plasma cell"
"243057","alveolar macrophage"
"48273","macrophage"
"135997","myeloid cell"
"200092","leukocyte"
"269032","macrophage"
"101665","alveolar macrophage"
"305187","alveolar macrophage"
"258912","alpha-beta T cell"
"11000","fibroblast"
"215127","T cell"
"51620","alveolar macrophage"
"136255","classical monocyte"
"247029","macrophage"
"131397","alveolar macrophage"
"231485","alveolar macrophage"
"16601","alveolar macrophage"
"58867","myeloid cell"
"245885","alveolar macrophage"
"254815","alveolar macrophage"
"160095","alveolar macrophage"
"262106","myeloid cell"
"40788","alveolar macrophage"
"69170","alveolar macrophage"
"237659","basal cell"
"198026","classical monocyte"
"282324","T cell"
"151303","alveolar macrophage"
"143800","macrophage"
"108148","alveolar macrophage"
"59349","alveolar macrophage"
"281370","monocyte"
"191142","T cell"
"265121","macrophage"
"235383","alveolar macrophage"
"156615","myeloid cell"
"190492","alveolar macrophage"
"106420","alveolar macrophage"
"204014","alveolar macrophage"
"30002","alveolar macrophage"
"245636","fibroblast"
"37467","alveolar macrophage"
"271195","alveolar macrophage"
"39135","T cell"
"206205","B cell"
"273134","myeloid cell"
"52844","type I pneumocyte"
"183499","fibroblast"
"221360","respiratory basal cell"
"58614","alveolar macrophage"
"142113","macrophage"
"158587","alveolar macrophage"
"240361","club cell"
"9635","ciliated cell"
"220181","alveolar macrophage"
"61464","T cell"
"118451","alveolar macrophage"
"264013","myeloid cell"
"201912","myeloid cell"
"275278","mast cell"
"258680","macrophage"
"294579","activated CD8-positive, alpha-beta T cell"
"160287","alveolar macrophage"
"100820","leukocyte"
"143658","macrophage"
"17215","dendritic cell, human"
"298283","myeloid cell"
"157919","myeloid cell"
"38262","alveolar macrophage"
"96757","myeloid cell"
"287512","macrophage"
"141110","alveolar macrophage"
"142054","alveolar macrophage"
"58390","alveolar macrophage"
"177389","CD4-positive, alpha-beta cytotoxic T cell"
"162607","alveolar macrophage"
"312201","alveolar macrophage"
"113716","CD8-positive, alpha-beta T cell"
"21106","alveolar macrophage"
"72233","alveolar macrophage"
"104242","classical monocyte"
"149472","macrophage"
"49556","macrophage"
"20564","alveolar macrophage"
"73810","myeloid cell"
"249610","myeloid cell"
"114365","plasmacytoid dendritic cell"
"160893","T cell"
"44721","alveolar macrophage"
"96221","T cell"
"183959","alveolar macrophage"
"62385","natural killer cell"
"137134","T cell"
"182781","CD8-positive, alpha-beta T cell"
"213838","alveolar macrophage"
"151508","ciliated cell"
"288178","alveolar macrophage"
"275752","alveolar macrophage"
"208112","macrophage"
"981","type II pneumocyte"
"45119","myeloid cell"
"46660","macrophage"
"24058","alveolar macrophage"
"4101","macrophage"
"176405","macrophage"
"80419","myeloid cell"
"94770","alveolar macrophage"
"255869","macrophage"
"281098","alveolar macrophage"
"24409","myeloid cell"
"261231","macrophage"
"296171","activated CD8-positive, alpha-beta T cell"
"25924","alveolar macrophage"
"108144","alveolar macrophage"
"277782","alveolar macrophage"
"20792","alveolar macrophage"
"237243","endothelial cell of lymphatic vessel"
"92649","alveolar macrophage"
"110852","alveolar macrophage"
"209254","myeloid cell"
"159757","alveolar macrophage"
"121487","alveolar macrophage"
"273104","alveolar macrophage"
"208948","alveolar macrophage"
"124277","macrophage"
"75031","myeloid cell"
"208045","alveolar macrophage"
"82369","alveolar macrophage"
"115242","alveolar macrophage"
"213486","alveolar macrophage"
"198934","ciliated cell"
"17563","alveolar macrophage"
"48586","macrophage"
"118083","alveolar macrophage"
"20386","myeloid cell"
"144926","myeloid cell"
"229578","alveolar macrophage"
"251315","ciliated cell"
"270123","natural killer cell"
"312912","vein endothelial cell"
"41156","endothelial cell of vascular tree"
"184056","T cell"
"312543","myeloid cell"
"200414","natural killer cell"
"44127","fibroblast"
"309811","fibroblast"
"48580","ciliated cell"
"10721","goblet cell"
"58010","natural killer cell"
"157527","alveolar macrophage"
"6450","macrophage"
"48300","macrophage"
"299790","T cell"
"107322","natural killer cell"
"287344","alveolar macrophage"
"153315","alveolar macrophage"
"166467","classical monocyte"
"258997","macrophage"
"95013","monocyte"
"252217","alveolar macrophage"
"147","macrophage"
"171556","alveolar macrophage"
"307007","macrophage"
"39687","alveolar macrophage"
"188490","T cell"
"111477","myeloid cell"
"215604","alveolar macrophage"
"275711","monocyte"
"234421","endothelial cell of artery"
"107291","natural killer cell"
"281432","macrophage"
"19294","macrophage"
"30182","monocyte"
"301616","alveolar macrophage"
"273225","alveolar macrophage"
"147692","alveolar macrophage"
"307503","alveolar macrophage"
"178749","myeloid cell"
"297418","monocyte"
"194222","CD8-positive, alpha-beta T cell"
"41589","B cell"
"56172","macrophage"
"38339","alveolar macrophage"
"190540","activated CD8-positive, alpha-beta T cell"
"289705","alveolar macrophage"
"137599","alveolar macrophage"
"37420","alveolar macrophage"
"167615","alveolar macrophage"
"42485","alveolar macrophage"
"187597","myeloid cell"
"288115","alveolar macrophage"
"67934","alveolar macrophage"
"271900","alveolar macrophage"
"103327","alveolar macrophage"
"67917","alveolar macrophage"
"7958","myeloid cell"
"176909","macrophage"
"160173","endothelial cell of vascular tree"
"127111","alveolar macrophage"
"113874","myeloid cell"
"192084","alveolar macrophage"
"20638","alveolar macrophage"
"141186","type II pneumocyte"
"133491","alveolar macrophage"
"301033","alveolar macrophage"
"166360","alveolar macrophage"
"30055","alveolar macrophage"
"216320","macrophage"
"7681","fibroblast"
"301930","alveolar macrophage"
"308180","ciliated cell"
"162078","alveolar macrophage"
"289405","alveolar macrophage"
"65960","alveolar macrophage"
"38445","alveolar macrophage"
"102819","alveolar macrophage"
"268535","fibroblast"
"102222","alveolar macrophage"
"252195","alveolar macrophage"
"35631","basal cell"
"218309","macrophage"
"609","alveolar macrophage"
"136420","alveolar macrophage"
"258450","macrophage"
"245559","monocyte"
"160697","alveolar macrophage"
"278165","myeloid cell"
"7208","ciliated cell"
"281578","fibroblast"
"60861","mesothelial cell"
"292613","alveolar macrophage"
"213113","alveolar macrophage"
"44312","natural killer cell"
"25041","macrophage"
"143210","alveolar macrophage"
"39397","T cell"
"201256","natural killer cell"
"176387","T cell"
"148747","T cell"
"311667","alveolar macrophage"
"292091","T cell"
"146384","alveolar macrophage"
"283572","alveolar macrophage"
"142227","alveolar macrophage"
"283726","macrophage"
"54217","T cell"
"296801","respiratory basal cell"
"30880","secretory cell"
"196313","B cell"
"70676","monocyte"
"147722","alveolar macrophage"
"99011","alveolar macrophage"
"245722","myeloid cell"
"147869","alveolar macrophage"
"34089","fibroblast"
"63157","CD16-positive, CD56-dim natural killer cell, human"
"13118","respiratory basal cell"
"290359","activated CD8-positive, alpha-beta T cell"
"247798","alveolar macrophage"
"29609","myeloid cell"
"91622","macrophage"
"103713","macrophage"
"238537","ciliated cell"
"190944","T cell"
"273026","respiratory basal cell"
"263662","myeloid cell"
"190638","alveolar macrophage"
"283035","alveolar macrophage"
"159156","ciliated cell"
"202465","alveolar macrophage"
"208824","alveolar macrophage"
"26686","alveolar macrophage"
"232424","alveolar macrophage"
"107796","fibroblast"
"124614","T cell"
"266386","macrophage"
"256789","macrophage"
"256604","alveolar macrophage"
"46014","B cell"
"82671","alveolar macrophage"
"152515","myeloid cell"
"220642","T cell"
"109202","alveolar macrophage"
"189993","T cell"
"168762","myeloid cell"
"251017","goblet cell"
